sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,activityName,activityGmv,subsidy,orderId
bill,taobao,淘宝闪购,2026-06-01,CBC-SC,惠宜选,仓店,惠宜选,拾惠客24H超市(绵阳御南街店),乌苏,红乌苏620ml大瓶装6箱装,乌苏啤酒620ml*6瓶/箱,6月嘉士伯超级品牌券39-10新供给,49.8,7.0,4000020335229766232
bill,taobao,淘宝闪购,2026-06-01,NX,惠宜选,仓店,惠宜选,拾惠客24H超市(盐池县文化街店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道,69.0,10.0,4000120335144547927
bill,taobao,淘宝闪购,2026-06-01,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24h超市(徐州周昌店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道,72.0,10.0,4000140335475060362
bill,taobao,淘宝闪购,2026-06-01,YN,酒小二,酒类专营店,酒小二,酒小二·酒水外卖(景洪曼斗店),乐堡,乐堡啤酒495ml瓶装,乐堡啤酒495ml/瓶,海天×嘉士伯×舒客×女护×妙可蓝多×伊利低温39-8,25.0,5.0,4000190335747985964
bill,taobao,淘宝闪购,2026-06-01,YN,酒小二,酒类专营店,酒小二,酒小二·酒水外卖(景洪曼斗店),乐堡,乐堡啤酒495ml瓶装,乐堡啤酒495ml/瓶,海天×嘉士伯×舒客×女护×妙可蓝多×伊利低温39-8,20.0,3.0,4000190335747985964
bill,taobao,淘宝闪购,2026-06-01,CBC-SC,惠宜选,仓店,惠宜选,拾惠客24H超市(仁寿县景观大道店),乌苏,红乌苏500ml大罐装,乌苏 红罐装啤酒 500ml/罐,6.1-6.30品牌联盟29-6全渠道,15.0,2.51,4000240335517413056
bill,taobao,淘宝闪购,2026-06-01,CBC-SC,惠宜选,仓店,惠宜选,拾惠客24H超市(仁寿县景观大道店),乌苏,红乌苏500ml大罐装3罐装,红乌苏啤酒500ml*3罐/箱,6.1-6.30品牌联盟29-6全渠道,21.5,3.49,4000240335517413056
bill,taobao,淘宝闪购,2026-06-01,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客超市(商丘虞城店),乐堡,乐堡小麦精酿1L,,海天×嘉士伯×舒客×女护×妙可蓝多×伊利低温15-2,15.9,2.0,4000270335676713654
bill,taobao,淘宝闪购,2026-06-01,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24h超市(马鞍山当涂店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道,72.0,10.0,4000300335488724560
bill,taobao,淘宝闪购,2026-06-01,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24h超市(马鞍山当涂店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道,72.0,10.0,4000300335488772785
bill,taobao,淘宝闪购,2026-06-01,CIB苏皖,惠宜选,仓店,惠宜选,拾惠客24h超市(马鞍山当涂店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道,-72.0,-10.0,4000300335488772785
bill,taobao,淘宝闪购,2026-06-01,YN,酒小二,酒类专营店,酒小二,酒小二(昭通民欣店),乌苏,红乌苏620ml大瓶装,红乌苏啤酒620ml/瓶,【品牌联盟券】6月深夜小酒馆29-6,44.0,6.0,4000340335576587859
bill,taobao,淘宝闪购,2026-06-01,CIB华南,酒小二,酒类专营店,酒小二,酒小二(深圳园岭店),乌苏,红乌苏620ml大瓶装6箱装,乌苏啤酒620ml*6瓶/箱,【品牌联盟券】6月深夜小酒馆38-8,51.0,8.0,4000370335435912732
bill,taobao,淘宝闪购,2026-06-01,华中-湖南,酒小二,酒类专营店,酒小二,酒小二·酒水外卖(新晃店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,嘉士伯_满减券_6月品牌加持满49-10全渠道,68.0,10.0,4000480335143168614
bill,taobao,淘宝闪购,2026-06-01,华中-湖南,酒小二,酒类专营店,酒小二,酒小二·酒水外卖(新晃店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,【品牌联盟券】6月深夜小酒馆38-8,68.0,8.0,4000480335227017775
bill,taobao,淘宝闪购,2026-06-01,CIB苏皖,酒小二,酒类专营店,酒小二,酒小二(阜阳天瑞名城店),乐堡,乐堡啤酒495ml瓶装12箱装,乐堡啤酒495ml*12/箱装,【品牌联盟券】6月深夜小酒馆38-8,74.0,8.0,4000696169262754388
