sourceType,platformId,platformLabel,date,region,channel,sourceChannel,merchant,rawMerchant,brand,product,rawProduct,gmv,quantity,orders,orderId,users
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,140.0,10,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,56.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-湖南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,64.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,54.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,68.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,华中-非湖南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装,凯旋1664白啤11.8°P啤酒330ml/瓶,52.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒小二,酒类专营店,酒小二,,K1664,1664白啤330ml瓶装24箱装,Kronenbourg166411.5°P白啤整箱装330ml*24瓶,272.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,永辉,连锁超市,永辉超市,,K1664,1664白啤330ml瓶装4瓶装,凯旋1664白啤11.8°P啤酒330ml*4瓶,45.0,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,永辉,连锁超市,永辉超市,,K1664,1664白啤330ml瓶装4瓶装,凯旋1664白啤11.8°P啤酒330ml*4瓶,90.0,2,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华北,惠宜选,仓店,惠宜选,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,14.5,1,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB东南,酒小二,酒类专营店,酒小二,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,60.0,4,1,1,1
full,taobao,淘宝闪购,2026-06-01,CIB华南,酒小二,酒类专营店,酒小二,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,75.0,5,1,1,1
full,taobao,淘宝闪购,2026-06-01,CBC-CQ,酒小二,酒类专营店,酒小二,,K1664,1664白啤500ml罐装,凯旋1664白啤500ml罐装啤酒,224.0,14,1,1,1
